Judul Berita,Link
Kisah Pria AS yang Pernah Hidup Tanpa Jantung Selama Sebulan,https://www.cnnindonesia.com/gaya-hidup/20230516152027-255-950346/kisah-pria-as-yang-pernah-hidup-tanpa-jantung-selama-sebulan
Kenali Faktor Risiko Penyebab Sifilis pada Laki-laki,https://www.cnnindonesia.com/gaya-hidup/20230515142424-255-949746/kenali-faktor-risiko-penyebab-sifilis-pada-laki-laki
Doa setelah Membaca Surat Al Kahfi Lengkap Latin dan Artinya,https://www.cnnindonesia.com/edukasi/20230511152920-569-948355/doa-setelah-membaca-surat-al-kahfi-lengkap-latin-dan-artinya
"90 Persen Hepatitis B Ditularkan Ibu ke Anak, Bagaimana Mencegahnya?",https://www.cnnindonesia.com/gaya-hidup/20230517195704-255-951033/90-persen-hepatitis-b-ditularkan-ibu-ke-anak-bagaimana-mencegahnya
Kemenkes Mau Pangan Lokal Gantikan Biskuit Balita dan Ibu Hamil,https://www.cnnindonesia.com/nasional/20230517210613-20-951050/kemenkes-mau-pangan-lokal-gantikan-biskuit-balita-dan-ibu-hamil
"Populer karena Andien, Apa Itu Teknik Pernapasan Buteyko?",https://www.cnnindonesia.com/gaya-hidup/20230517135608-255-950807/populer-karena-andien-apa-itu-teknik-pernapasan-buteyko
"6 Cara Tes HIV di Rumah Sakit, Ada Antigen dan PCR",https://www.cnnindonesia.com/gaya-hidup/20230517080200-255-950619/6-cara-tes-hiv-di-rumah-sakit-ada-antigen-dan-pcr
Wanti-wanti Kemenkes: 90 Persen Hepatitis B Ditularkan Ibu ke Anak,https://www.cnnindonesia.com/nasional/20230516183922-20-950458/wanti-wanti-kemenkes-90-persen-hepatitis-b-ditularkan-ibu-ke-anak
Mengenal Hepatitis A Seperti yang Dialami Rapper Big Naughty,https://www.cnnindonesia.com/gaya-hidup/20230517072922-255-950598/mengenal-hepatitis-a-seperti-yang-dialami-rapper-big-naughty
8 Minuman Enak Pendamping Sarapan yang Efektif Turunkan Berat Badan,https://www.cnnindonesia.com/gaya-hidup/20230516202558-262-950498/8-minuman-enak-pendamping-sarapan-yang-efektif-turunkan-berat-badan
Inggris Deteksi 2 Pekerja Peternakan Unggas Positif Flu Burung,https://www.cnnindonesia.com/internasional/20230517013218-134-950550/inggris-deteksi-2-pekerja-peternakan-unggas-positif-flu-burung
Setengah Populasi Ternak di Luwu Timur Mati Gegara Flu Babi Afrika,https://www.cnnindonesia.com/nasional/20230517000053-20-950532/setengah-populasi-ternak-di-luwu-timur-mati-gegara-flu-babi-afrika
Kementan Pede Demam Babi Tak Separah Penyakit Mulut dan Kuku,https://www.cnnindonesia.com/ekonomi/20230516171914-92-950418/kementan-pede-demam-babi-tak-separah-penyakit-mulut-dan-kuku
WHO Tak Sarankan Pemanis Buatan untuk Diet Sehat,https://www.cnnindonesia.com/gaya-hidup/20230516143720-255-950309/who-tak-sarankan-pemanis-buatan-untuk-diet-sehat
"Masih 21 Tahun, Bek Thailand Pensiun Usai Final Lawan Indonesia",https://www.cnnindonesia.com/olahraga/20230516152915-142-950350/masih-21-tahun-bek-thailand-pensiun-usai-final-lawan-indonesia
"Ramai di Sulsel, Apakah Flu Babi Afrika Bisa Menular ke Manusia?",https://www.cnnindonesia.com/gaya-hidup/20230516101704-255-950146/ramai-di-sulsel-apakah-flu-babi-afrika-bisa-menular-ke-manusia
Jamie Foxx Disebut Masih Dirawat dengan Dikelilingi Keluarga,https://www.cnnindonesia.com/hiburan/20230516095601-234-950139/jamie-foxx-disebut-masih-dirawat-dengan-dikelilingi-keluarga
Posisi Tidur yang Baik untuk Berbagai Kondisi: Gerd Sampai Awet Muda,https://www.cnnindonesia.com/gaya-hidup/20230516094516-255-950134/posisi-tidur-yang-baik-untuk-berbagai-kondisi-gerd-sampai-awet-muda
