Judul Berita,Link Berita,Link Image
Bocah SD di Sukabumi Tewas Diduga Dianiaya Teman Sekolah,https://www.cnnindonesia.com/nasional/20230521192345-12-952161/bocah-sd-di-sukabumi-tewas-diduga-dianiaya-teman-sekolah,https://akcdn.detik.net.id/visual/2015/03/04/99d91ed2-72da-49c0-9d07-8e7725814c97_169.jpg?w=500&q=90
PKS Akui Bukhori Yusuf Anggota DPR yang Diduga Lakukan KDRT,https://www.cnnindonesia.com/nasional/20230523142137-32-952946/pks-akui-bukhori-yusuf-anggota-dpr-yang-diduga-lakukan-kdrt,https://akcdn.detik.net.id/visual/2022/01/27/kemenaker-dorong-serikat-pekerja-untuk-menjadikan-k3-objek-prioritas_169.jpeg?w=500&q=90
Bareskrim Dalami Kasus Dugaan KDRT Anggota DPR Fraksi PKS,https://www.cnnindonesia.com/nasional/20230523135619-12-952932/bareskrim-dalami-kasus-dugaan-kdrt-anggota-dpr-fraksi-pks,https://akcdn.detik.net.id/visual/2018/12/18/ca15c37d-17d7-464b-99b3-b67a35606ee3_169.jpeg?w=500&q=90
Pengacara Politikus PKS Terjerat KDRT Sebut Pelapor Pernah Depresi,https://www.cnnindonesia.com/nasional/20230523103830-12-952808/pengacara-politikus-pks-terjerat-kdrt-sebut-pelapor-pernah-depresi,https://akcdn.detik.net.id/visual/2023/05/16/ilustrasi-kekerasan_169.jpeg?w=500&q=90
"Dialami Megan Fox, Apa Itu Body Dysmorphobia?",https://www.cnnindonesia.com/gaya-hidup/20230522154341-255-952513/dialami-megan-fox-apa-itu-body-dysmorphobia,https://akcdn.detik.net.id/visual/2022/08/02/megan-fox_169.jpeg?w=500&q=90
"Viral, Kebanyakan Makan Jengkol Disebut Bikin Gagal Ginjal",https://www.cnnindonesia.com/gaya-hidup/20230522130942-255-952431/viral-kebanyakan-makan-jengkol-disebut-bikin-gagal-ginjal,https://akcdn.detik.net.id/visual/2022/08/25/ilustrasi-jengkol-4_169.jpeg?w=500&q=90
"Flu Burung Merebak, Brasil Berlakukan Darurat Kesehatan Hewan 180 Hari",https://www.cnnindonesia.com/internasional/20230523050846-134-952706/flu-burung-merebak-brasil-berlakukan-darurat-kesehatan-hewan-180-hari,https://akcdn.detik.net.id/visual/2015/11/18/048def6f-682b-4cef-85a4-a09fb9d8af54_169.jpg?w=500&q=90
5 Tanda Bahaya Otak Menua Lebih Cepat dari Usiamu,https://www.cnnindonesia.com/gaya-hidup/20230522151840-255-952487/5-tanda-bahaya-otak-menua-lebih-cepat-dari-usiamu,https://akcdn.detik.net.id/visual/2014/12/12/78a9e0ac-0da9-4f08-a646-5aa55b09e40f_169.jpg?w=500&q=90
Apakah Pengidap Kanker Payudara Tetap Bisa Menyusui?,https://www.cnnindonesia.com/gaya-hidup/20230516132049-255-950229/apakah-pengidap-kanker-payudara-tetap-bisa-menyusui,https://akcdn.detik.net.id/visual/2019/12/06/3bb19513-c346-4058-bc9f-55894befe961_169.jpeg?w=500&q=90
PM Singapura Positif Covid-19 usai Kunjungan ke Afrika Selatan,https://www.cnnindonesia.com/internasional/20230522152714-106-952506/pm-singapura-positif-covid-19-usai-kunjungan-ke-afrika-selatan,https://akcdn.detik.net.id/visual/2022/01/25/pertemuan-presiden-jokowi-dan-pm-singapura-6_169.jpeg?w=500&q=90
Bocah SD di Sukabumi Tewas Diduga Dianiaya Teman Sekolah,https://www.cnnindonesia.com/nasional/20230521192345-12-952161/bocah-sd-di-sukabumi-tewas-diduga-dianiaya-teman-sekolah,https://akcdn.detik.net.id/visual/2015/03/04/99d91ed2-72da-49c0-9d07-8e7725814c97_169.jpg?w=500&q=90
Erick Thohir Kirim Dokter ke Rumah Kurnia Meiga,https://www.cnnindonesia.com/olahraga/20230521163618-142-952127/erick-thohir-kirim-dokter-ke-rumah-kurnia-meiga,https://akcdn.detik.net.id/visual/2023/03/17/thailand-aff-suzuki-cup-soccer_169.jpeg?w=500&q=90
Ahli Rekomendasikan Skrining Kanker Payudara di Usia 40 Tahun,https://www.cnnindonesia.com/gaya-hidup/20230510132547-255-947722/ahli-rekomendasikan-skrining-kanker-payudara-di-usia-40-tahun,https://akcdn.detik.net.id/visual/2021/10/16/ilustrasi-kanker-payudara-7_169.jpeg?w=500&q=90
"Doa Minum Air Zam-Zam: Arab, Latin, dan Artinya",https://www.cnnindonesia.com/edukasi/20230517090355-569-950643/doa-minum-air-zam-zam-arab-latin-dan-artinya,https://akcdn.detik.net.id/visual/2022/03/09/ilustrasi-minum-air-hangat_169.jpeg?w=500&q=90
Arti Syafakillah dan Syafakallah beserta Cara Menjawabnya,https://www.cnnindonesia.com/edukasi/20230517152136-569-950869/arti-syafakillah-dan-syafakallah-beserta-cara-menjawabnya,https://akcdn.detik.net.id/visual/2019/10/31/458878ee-dae9-4e09-bfea-ed9c6b9627ab_169.jpeg?w=500&q=90
Kecemasan Akan Krisis Iklim Disebut Bisa Berpengaruh Pada Seks,https://www.cnnindonesia.com/gaya-hidup/20230516063545-277-950028/kecemasan-akan-krisis-iklim-disebut-bisa-berpengaruh-pada-seks,https://akcdn.detik.net.id/visual/2021/07/13/ilustrasi-isolasi-mandiri_169.jpeg?w=500&q=90
Happy Bee-day: 6 Fakta Unik Soal Lebah yang Tak Banyak Diketahui,https://www.cnnindonesia.com/gaya-hidup/20230520125312-284-951814/happy-bee-day-6-fakta-unik-soal-lebah-yang-tak-banyak-diketahui,https://akcdn.detik.net.id/visual/2021/12/14/lebah-dan-bunga_169.jpeg?w=500&q=90
Studi Ungkap Cuaca Panas Terus-menerus Bisa Bikin Gangguan Jiwa,https://www.cnnindonesia.com/teknologi/20230520082709-199-951760/studi-ungkap-cuaca-panas-terus-menerus-bisa-bikin-gangguan-jiwa,https://akcdn.detik.net.id/visual/2022/05/13/ilustrasi-cuaca-panas_169.jpeg?w=500&q=90
"6 Makanan Terbaik Saat Masuk Angin, Bikin Cepat Sembuh",https://www.cnnindonesia.com/gaya-hidup/20230519172320-261-951638/6-makanan-terbaik-saat-masuk-angin-bikin-cepat-sembuh,https://akcdn.detik.net.id/visual/2022/02/17/ilustrasi-pundak-pegal-1_169.jpeg?w=500&q=90
"Sejarah Kebangkitan Nasional, Cikal Bakal Lahirnya Boedi Oetomo",https://www.cnnindonesia.com/edukasi/20230516143138-569-950305/sejarah-kebangkitan-nasional-cikal-bakal-lahirnya-boedi-oetomo,https://akcdn.detik.net.id/visual/2022/08/15/kibar-sang-saka-merah-putih-di-penjuru-nusantara-5_169.jpeg?w=500&q=90
Negara Bagian di India Paksa Polisi Diet atau Dipecat,https://www.cnnindonesia.com/internasional/20230519131516-113-951482/negara-bagian-di-india-paksa-polisi-diet-atau-dipecat,https://akcdn.detik.net.id/visual/2023/05/19/polisi-india_169.jpeg?w=500&q=90
Dinkes DKI Jakarta: Ada 99 Terduga Polio Sejak Awal 2023,https://www.cnnindonesia.com/nasional/20230519121938-20-951436/dinkes-dki-jakarta-ada-99-terduga-polio-sejak-awal-2023,https://akcdn.detik.net.id/visual/2020/11/14/ilustrasi-vaksin-polio_169.jpeg?w=500&q=90
8 Penyebab Motor Matic Tak Mau Distarter,https://www.cnnindonesia.com/otomotif/20230516121911-600-950188/8-penyebab-motor-matic-tak-mau-distarter,https://akcdn.detik.net.id/visual/2018/07/17/36ab6359-c685-4747-abae-3ff49c85eef4_169.jpeg?w=500&q=90
5 Minuman Penderita Gerd yang Disarankan,https://www.cnnindonesia.com/gaya-hidup/20230519095331-262-951367/5-minuman-penderita-gerd-yang-disarankan,https://akcdn.detik.net.id/visual/2022/08/12/ilustrasi-sakit-perut_169.jpeg?w=500&q=90
Miliarder Srichand Hinduja dari Inggris Meninggal Dunia di Usia 87,https://www.cnnindonesia.com/ekonomi/20230518212437-92-951291/miliarder-srichand-hinduja-dari-inggris-meninggal-dunia-di-usia-87,https://akcdn.detik.net.id/visual/2022/04/12/ilustrasi-meninggal-dunia_169.jpeg?w=500&q=90
Kisah Pria AS yang Pernah Hidup Tanpa Jantung Selama Sebulan,https://www.cnnindonesia.com/gaya-hidup/20230516152027-255-950346/kisah-pria-as-yang-pernah-hidup-tanpa-jantung-selama-sebulan,https://akcdn.detik.net.id/visual/2020/02/19/1cb3af2c-945a-4160-b836-00ad128f5dfe_169.jpeg?w=500&q=90
Kenali Faktor Risiko Penyebab Sifilis pada Laki-laki,https://www.cnnindonesia.com/gaya-hidup/20230515142424-255-949746/kenali-faktor-risiko-penyebab-sifilis-pada-laki-laki,https://akcdn.detik.net.id/visual/2022/04/04/ilustrasi-kesehatan-pria_169.jpeg?w=500&q=90
Doa setelah Membaca Surat Al Kahfi Lengkap Latin dan Artinya,https://www.cnnindonesia.com/edukasi/20230511152920-569-948355/doa-setelah-membaca-surat-al-kahfi-lengkap-latin-dan-artinya,https://akcdn.detik.net.id/visual/2021/03/29/ilustrasi-doa-1_169.jpeg?w=500&q=90
"90 Persen Hepatitis B Ditularkan Ibu ke Anak, Bagaimana Mencegahnya?",https://www.cnnindonesia.com/gaya-hidup/20230517195704-255-951033/90-persen-hepatitis-b-ditularkan-ibu-ke-anak-bagaimana-mencegahnya,https://akcdn.detik.net.id/visual/2017/07/07/4b6dd09e-4a53-4f77-9ceb-4d10f8da9563_169.jpg?w=500&q=90
Kemenkes Mau Pangan Lokal Gantikan Biskuit Balita dan Ibu Hamil,https://www.cnnindonesia.com/nasional/20230517210613-20-951050/kemenkes-mau-pangan-lokal-gantikan-biskuit-balita-dan-ibu-hamil,https://akcdn.detik.net.id/visual/2016/03/21/fb0d9807-57fe-4207-aa54-7c458da73da7_169.jpg?w=500&q=90
"Populer karena Andien, Apa Itu Teknik Pernapasan Buteyko?",https://www.cnnindonesia.com/gaya-hidup/20230517135608-255-950807/populer-karena-andien-apa-itu-teknik-pernapasan-buteyko,https://akcdn.detik.net.id/visual/2016/08/01/481bad56-5524-42d0-9ab4-f4ac91222f06_169.jpg?w=500&q=90
